text,label
"@USER se tiene q ser subnormal profundo, pero como dice @USER este es la nueva manera de hacer periodismo. Pues ala",1
"La chica claro que toma videos que no son de ella pero se toma la molestia de verse horas de directo de recopilar información precisa que luego tú usas porque eres un vago y te agarras de los estractos directamente a parte se toma la molestia de editar las cosas a su modo, eso se llama trabajo y es algo que debes tener en cuenta antes de soltar semejante argumento de vago español chulito "" hay es que la persona que habla en el vídeo no eres tú por ende aunque hayas visto horas de directo de esas personas y hayas editado y trabajado en aquello entonces yo puedo tomar tu material que te has currado y hacer lo mío sin tomarme la molestia de ver horas y horas de directos como tú porque soy un vago que quiere todo facil, así que no me digas nada PESADA!!! Deja de ser un soplagaitas y dale credito.",1
Aah pero cuando hablan de ti? Que? JAJAJA Siempre vas hablando de las personas. Pero cuando hablan de ti no te aguantas  A que estas jugando? Dices que Danna Paola tiene el ego muy débil JAJAJA creo que ese débil ego es TUYO,1
"Un hombre asesino es un “presunto” una mujer asesina es una “feminazi” 
Yo veo periodismo de calidad con mucha igualdad de términos... 
¡Periodistas misóginos fuera!!
LINK",0
JaviOliveira: un video nuevo al canal de una morra patética  Angie Corine: me gusta colgarme de fama de personalidades grandes para hacerme la importante y me gusta decir incoherencias 😂 por qué no sabe llamar la atención,1
"Un ayuntamiento del PP coloca en un colegio un cartel autorizando ""carga y descarga de discapacitados"",así sin más,sin pudor y sin verguenza",0
"Y aun que le explicaran tampoco entendería si el culiao no es medico ni científico xD es artista/musico wn MUSICO bueno o malo da lo mismo, pastelero a sus pasteles LINK",0
Que P R E C I O S O vídeo ❤ que el amor perdure siempre en ustedes y que Dios bendiga toda esa felicidad que irradian 😊,0
"""Por que les encanta discutir y han encontrado un trabajo en el que les pagan por discutir""  -El men que monetiza sus debates xdxd  No me odies sallas revie",0
"@USER @USER @USER @USER @USER Pero callate la boca pobre obeso, sudaca y todo lo que quieras pero por lo menos se escribir, tanto que hablas de mi cabello, no me quiero imaginar lo que debes ser en persona, que te escondes a",1
"#AsiaCentral: #Qatar tiene en sus manos a #Kirguistán. Escuelas árabes para radicalizar a los jóvenes, organizaciones benéficas, corrupción de funcionarios públicos: el objetivo es reclutar extremistas para enviar a #Siria .",1
@USER @USER Cállate puta,1
Alberto Fernández no es tan mal presidente pero lleva solamente 11 días en el cargo como para decirlo,0
Que estupida,1
Los exjugadores de Arandina condenados a 38 años de prisión hoy no van a la cárcel LINK,0
"La clase política, conmocionada, lamenta la muerte de la dirigente socialista LINK LINK",0
Otro gol que se come el sudaca ese y Carlos Felipe TRIUNFANDO en el trabucleti.,1
JPelirrojo ha acabado como merecia: en la mierda.,1
"@USER 25000 voltios y que quiten las concertinas , y el que tenga huevos que salte",1
Deja de saturar el puto audio,0
@USER Que voy yo y te pego con un pene en la cara cabrona,1
